millis,x_1,y_1,z_1,x_2,y_2,z_2
101399,8.92,-0.53,4.77,4.97,-7.91,3.65
101434,9.23,-0.43,4.81,6.04,-8.60,4.34
101469,9.21,-0.41,4.81,4.01,-8.02,2.91
101509,9.19,-0.44,4.74,1.09,-9.77,2.95
101544,9.12,-0.57,4.79,3.31,-8.37,2.30
101579,9.23,-0.58,4.97,6.04,-8.11,3.94
101615,9.25,-0.47,4.61,6.22,-7.58,3.73
101654,9.34,-0.36,4.58,2.03,-9.44,2.92
101689,9.06,-0.54,4.57,1.91,-8.94,2.56
101724,9.13,-0.58,4.71,5.62,-7.46,4.59
101764,9.27,-0.49,4.86,4.78,-8.91,3.53
101799,9.34,-0.42,4.60,1.03,-10.13,3.17
101834,8.95,-0.54,4.46,3.16,-8.49,2.85
101869,9.31,-0.48,4.89,7.10,-8.70,5.58
101909,9.14,-0.43,4.65,3.48,-8.90,2.33
101944,9.45,-0.31,4.25,-0.39,-10.23,2.51
101979,8.91,-0.35,4.94,2.12,-8.18,4.72
102016,9.08,-0.30,4.78,9.31,-5.86,5.19
102054,9.32,-0.34,4.69,5.27,-7.32,1.37
102089,9.09,-0.27,4.56,1.92,-9.26,2.59
102124,9.31,-0.37,4.78,3.04,-8.67,5.14
102164,8.84,-0.59,4.61,3.91,-7.94,3.36
102199,9.31,-0.30,4.18,2.36,-9.81,2.09
102234,8.90,-0.65,4.74,3.18,-8.54,3.45
102269,9.41,-0.26,4.56,4.47,-8.34,3.89
102309,9.07,-0.51,4.76,4.71,-8.88,3.09
102344,9.11,-0.45,4.88,2.79,-9.45,2.74
